neighbourhood_group,neighbourhood,average_price,total_listings,number_of_hosts,average_minimum_nights,average_reviews_per_month
Staten Island,Arrochar,115.0,21,10,2.761904761904762,1.0952380952380953
Staten Island,"Bay Terrace, Staten Island",150.0,1,1,3.0,0.09
Staten Island,Bull's Head,46.0,4,3,3.25,1.9975
Staten Island,Castleton Corners,171.33333333333334,3,3,2.0,1.5266666666666666
Staten Island,Clifton,84.93333333333334,15,9,1.8666666666666667,1.8006666666666666
Staten Island,Concord,56.791666666666664,24,9,3.0833333333333335,1.5241666666666667
Staten Island,Dongan Hills,79.42857142857143,7,5,2.142857142857143,2.0685714285714285
Staten Island,Eltingville,141.66666666666666,3,3,5.333333333333333,1.8866666666666667
Staten Island,Emerson Hill,68.2,5,5,1.6,1.408
Staten Island,Fort Wadsworth,800.0,1,1,7.0,0.72
Staten Island,Graniteville,68.66666666666667,3,3,2.6666666666666665,1.5333333333333332
Staten Island,Grant City,63.4,5,3,3.8,2.082
Staten Island,Great Kills,94.28571428571429,7,5,2.4285714285714284,0.8985714285714286
Staten Island,Grymes Hill,159.14285714285714,7,7,1.8571428571428572,1.13
Staten Island,Howland Hook,100.0,2,2,3.5,0.57
Staten Island,Huguenot,118.33333333333333,3,2,1.6666666666666667,3.76
Staten Island,Lighthouse Hill,157.5,2,2,2.0,1.165
Staten Island,Mariners Harbor,94.625,8,8,2.375,2.48625
Staten Island,Midland Beach,91.83333333333333,6,6,3.0,0.8516666666666667
Staten Island,New Brighton,117.25,4,4,2.25,2.77
Staten Island,New Dorp,57.0,1,1,1.0,0.72
Staten Island,New Dorp Beach,57.4,5,4,2.0,2.632
Staten Island,New Springville,76.0,8,6,2.625,2.5375
Staten Island,Oakwood,81.2,5,3,1.2,0.7140000000000001
Staten Island,Port Richmond,48.333333333333336,6,4,1.1666666666666667,1.7666666666666666
Staten Island,Prince's Bay,129.33333333333334,3,3,1.6666666666666667,1.4966666666666668
Staten Island,Randall Manor,336.0,19,12,2.5789473684210527,1.5042105263157897
Staten Island,Richmondtown,78.0,1,1,3.0,2.56
Staten Island,Rosebank,111.85714285714286,7,7,2.142857142857143,3.8128571428571427
Staten Island,Rossville,75.0,1,1,3.0,1.69
Staten Island,Shore Acres,152.71428571428572,7,7,2.857142857142857,1.03
Staten Island,Silver Lake,70.0,2,2,2.5,4.34
Staten Island,South Beach,89.25,8,7,2.375,1.74
Staten Island,St. George,119.58695652173913,46,35,2.4347826086956523,1.7180434782608696
Staten Island,Stapleton,99.11538461538461,26,19,1.7307692307692308,2.1392307692307693
Staten Island,Todt Hill,204.66666666666666,3,2,2.3333333333333335,0.9899999999999999
Staten Island,Tompkinsville,76.19047619047619,42,25,2.3095238095238093,2.142142857142857
Staten Island,Tottenville,144.85714285714286,7,6,2.4285714285714284,1.0242857142857142
Staten Island,West Brighton,85.625,16,8,1.875,1.46375
Staten Island,Westerleigh,71.5,2,2,2.5,0.505
Staten Island,Willowbrook,249.0,1,1,4.0,0.8
Staten Island,Woodrow,700.0,1,1,7.0,0.72
